Year_Level,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Year 1,91.6,92.1,92,91.7,92,91.9,91.7,91.5,88.3,91.1,86.4,88.4
Year 2,92.2,92.5,92.4,92.1,92,92.1,92.2,91.8,88.7,91.4,86.7,89.1
Year 3,92.5,92.6,92.4,92.3,92.3,92.1,92.3,92,88.8,91.7,87.1,89
Year 4,92.3,92.7,92.5,92.1,92,92,92,91.8,88.7,91.3,86.7,89
Year 5,92.2,92.5,92.4,92.1,92,91.8,92,91.6,88.5,90.9,86.3,88.6
Year 6,92,92.1,92,91.9,91.8,91.6,91.3,91.2,87.9,90.5,85.8,88.2
Year 7,91.8,91.6,91.5,91.4,91.4,91.1,90.8,90.5,87.2,88.9,,
Year 8,89.9,89.9,90.3,90.2,90.3,90.3,90,89.3,86.1,87.7,83.1,83.9
Year 9,87.5,87.6,88.2,88.1,88,87.8,88.1,87.4,83.9,84.9,80.7,81.9
Year 10,86.3,86.7,87.4,87.6,87.8,87.3,87.3,87.3,83.6,84.8,80.4,82.2
Year 11,86,86.4,87.3,88.1,88.2,88.1,87.8,87.4,84.2,84.8,81,82.6
Year 12,87.6,88,88.6,89.4,89.2,88.8,88.9,88.8,86,85.9,83.4,83.9

