Age_Group,Gender,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
04-06 years,Female,13,21,28,24,29,26,32,35,25,35,33,38
07-09 years,Female,66,74,85,100,92,102,107,111,90,72,73,86
10-12 years,Female,140,195,157,202,183,199,197,203,188,191,252,308
13-16 years,Female,570,557,485,511,459,460,533,529,506,558,681,963
Over 16 years,Female,56,34,37,43,48,47,45,28,42,29,38,54
04-06 years,Male,111,140,150,166,150,165,175,192,167,158,162,162
07-09 years,Male,439,477,520,567,556,644,558,605,468,452,445,471
10-12 years,Male,673,735,694,763,756,842,813,852,868,825,872,1000
13-16 years,Male,1620,1430,1255,1320,1342,1279,1261,1272,1378,1493,1550,2027
Over 16 years,Male,178,180,139,159,158,143,103,107,138,104,105,151
